umur;penganguran;tahun;nama_provinsi;kode_provinsi
15-19;495571;2018;JAWA BARAT;32
20-24;677147;2018;JAWA BARAT;32
25-29;266992;2018;JAWA BARAT;32
30-34;109629;2018;JAWA BARAT;32
35-39;102657;2018;JAWA BARAT;32
40-44;76839;2018;JAWA BARAT;32
45-49;55704;2018;JAWA BARAT;32
50-54;2866;2018;JAWA BARAT;32
55-59;24934;2018;JAWA BARAT;32
60+;10101;2018;JAWA BARAT;32
15-19;471558;2019;JAWA BARAT;32
20-24;616326;2019;JAWA BARAT;32
25-29;298454;2019;JAWA BARAT;32
30-34;136670;2019;JAWA BARAT;32
35-39;94345;2019;JAWA BARAT;32
40-44;100928;2019;JAWA BARAT;32
45-49;68944;2019;JAWA BARAT;32
50-54;57539;2019;JAWA BARAT;32
55-59;37708;2019;JAWA BARAT;32
60+;19026;2019;JAWA BARAT;32
15-19;448280;2020;JAWA BARAT;32
20-24;721517;2020;JAWA BARAT;32
25-29;413984;2020;JAWA BARAT;32
30-34;234387;2020;JAWA BARAT;32
35-39;163002;2020;JAWA BARAT;32
40-44;170166;2020;JAWA BARAT;32
45-49;142812;2020;JAWA BARAT;32
50-54;114901;2020;JAWA BARAT;32
55-59;84122;2020;JAWA BARAT;32
60+;39905;2020;JAWA BARAT;32
15-19;426022;2021;JAWA BARAT;32
20-24;695382;2021;JAWA BARAT;32
25-29;407090;2021;JAWA BARAT;32
30-34;226356;2021;JAWA BARAT;32
35-39;168443;2021;JAWA BARAT;32
40-44;134218;2021;JAWA BARAT;32
45-49;134769;2021;JAWA BARAT;32
50-54;72382;2021;JAWA BARAT;32
55-59;60411;2021;JAWA BARAT;32
60+;105074;2021;JAWA BARAT;32
15-19;567774;2022;JAWA BARAT;32
20-24;688725;2022;JAWA BARAT;32
25-29;290763;2022;JAWA BARAT;32
30-34;143463;2022;JAWA BARAT;32
35-39;86860;2022;JAWA BARAT;32
40-44;77169;2022;JAWA BARAT;32
45-49;72700;2022;JAWA BARAT;32
50-54;68049;2022;JAWA BARAT;32
55-59;54094;2022;JAWA BARAT;32
60+;76009;2022;JAWA BARAT;32
